ID,task,human_decision_time,human_ai_decision_time,XAI_value,subtracted_human_ai_decision_time
OX28,10,12.0,24.0,1,6.0
OX28,11,15.0,23.0,1,8.0
OX28,12,10.0,13.0,1,-7.0
OX28,13,19.0,19.0,1,4.0
OX28,14,31.0,26.0,1,10.0
OX28,15,31.0,12.0,1,1.0
OX29,1,29.0,16.0,1,0.0
OX29,2,31.0,23.0,1,4.0
OX29,3,23.0,19.0,1,6.0
OX29,4,19.0,14.0,1,0.0
OX29,5,26.0,29.0,1,11.0
OX29,6,24.0,33.0,1,17.0
OX29,7,15.0,45.0,1,29.0
OX29,8,20.0,21.0,1,7.0
OX29,9,10.0,20.0,1,-1.0
OX29,10,10.0,68.0,1,50.0
OX29,11,10.0,28.0,1,13.0
OX29,12,11.0,38.0,1,18.0
OX29,13,15.0,60.0,1,45.0
OX29,14,22.0,62.0,1,46.0
OX29,15,18.0,20.0,1,9.0
OX30,1,7.0,9.0,1,-7.0
OX30,2,13.0,11.0,1,-8.0
OX30,3,20.0,10.0,1,-3.0
OX30,4,7.0,9.0,1,-5.0
OX30,5,4.0,4.0,1,-14.0
OX30,6,14.0,9.0,1,-7.0
OX30,7,3.0,25.0,1,9.0
OX30,8,5.0,8.0,1,-6.0
OX30,9,4.0,9.0,1,-12.0
OX30,10,7.0,18.0,1,0.0
OX30,11,4.0,8.0,1,-7.0
OX30,12,5.0,6.0,1,-14.0
OX30,13,6.0,10.0,1,-5.0
OX30,14,7.0,9.0,1,-7.0
OX30,15,5.0,8.0,1,-3.0
OX31,1,16.0,16.0,1,0.0
OX31,2,18.0,22.0,1,3.0
OX31,3,8.0,15.0,1,2.0
OX31,4,11.0,18.0,1,4.0
OX31,5,13.0,25.0,1,7.0
OX31,6,11.0,17.0,1,1.0
OX31,7,10.0,17.0,1,1.0
OX31,8,9.0,15.0,1,1.0
OX31,9,9.0,21.0,1,0.0
OX31,10,9.0,24.0,1,6.0
OX31,11,12.0,16.0,1,1.0
OX31,12,11.0,21.0,1,1.0
OX31,13,10.0,16.0,1,1.0
OX31,14,16.0,17.0,1,1.0
OX31,15,17.0,12.0,1,1.0
OX32,1,40.0,33.0,1,17.0
OX32,2,21.0,49.0,1,30.0
OX32,3,24.0,19.0,1,6.0
OX32,4,31.0,28.0,1,14.0
OX32,5,25.0,26.0,1,8.0
OX32,6,31.0,39.0,1,23.0
OX32,7,26.0,24.0,1,8.0
OX32,8,32.0,29.0,1,15.0
OX32,9,24.0,24.0,1,3.0
OX32,10,23.0,26.0,1,8.0
OX32,11,32.0,27.0,1,12.0
OX32,12,30.0,23.0,1,3.0
OX32,13,26.0,24.0,1,9.0
OX32,14,24.0,20.0,1,4.0
OX32,15,30.0,18.0,1,7.0
OX33,1,19.0,18.0,1,2.0
OX33,2,22.0,26.0,1,7.0
OX33,3,15.0,17.0,1,4.0
OX33,4,13.0,17.0,1,3.0
OX33,5,16.0,18.0,1,0.0
OX33,6,9.0,18.0,1,2.0
OX33,7,14.0,30.0,1,14.0
OX33,8,14.0,15.0,1,1.0
OX33,9,10.0,23.0,1,2.0
OX33,10,16.0,18.0,1,0.0
OX33,11,19.0,18.0,1,3.0
OX33,12,12.0,22.0,1,2.0
OX33,13,16.0,16.0,1,1.0
OX33,14,7.0,8.0,1,-8.0
OX33,15,10.0,14.0,1,3.0
OX34,1,17.0,17.0,1,1.0
OX34,2,26.0,22.0,1,3.0
OX34,3,18.0,17.0,1,4.0
OX34,4,14.0,19.0,1,5.0
OX34,5,15.0,5.0,1,-13.0
OX34,6,24.0,18.0,1,2.0
OX34,7,18.0,24.0,1,8.0
OX34,8,23.0,16.0,1,2.0
OX34,9,13.0,21.0,1,0.0
OX34,10,13.0,19.0,1,1.0
OX34,11,16.0,17.0,1,2.0
OX34,12,12.0,22.0,1,2.0
OX34,13,17.0,21.0,1,6.0
OX34,14,9.0,18.0,1,2.0
OX34,15,12.0,13.0,1,2.0
